site,household,adult_count,household_energy_gj_year,food_adult_equivalents,mathematical_food_area_ha,heating_area_ha,resilience_surplus_allowance_ha,total_robust_productive_area_ha,arc_policy_allocation_ha,land_surplus_or_deficit_ha,arc_policy_status,food_surplus_or_deficit_at_arc_allocation_gj
wetter_productive,one_adult,1,3.375074,0.868891,0.172367,0.177549,0.57,0.919916,1,0.080084,sufficient against robust-area scenario,12.729085
wetter_productive,adult_plus_child,1,5.846183,1.505062,0.298569,0.177549,0.57,1.046118,1,-0.046118,deficit against robust-area scenario,10.257976
wetter_productive,two_adults,2,7.768697,2,0.396753,0.177549,0.57,1.144302,2,0.855698,sufficient against robust-area scenario,27.916154
wetter_productive,two_adults_plus_one_child,2,10.239806,2.636171,0.522954,0.177549,0.580739,1.281242,2,0.718758,sufficient against robust-area scenario,25.445045
wetter_productive,two_adults_plus_two_children,2,14.050693,3.617259,0.717579,0.177549,0.629395,1.524523,2,0.475477,sufficient against robust-area scenario,21.634158
wetter_productive,two_adults_plus_three_children,2,16.677312,4.293465,0.851722,0.177549,0.662931,1.692202,2,0.307798,sufficient against robust-area scenario,19.007539
ordinary_mesic,one_adult,1,3.375074,0.868891,0.189604,0.347641,0.57,1.107245,1,-0.107245,deficit against robust-area scenario,8.237327
ordinary_mesic,adult_plus_child,1,5.846183,1.505062,0.328426,0.347641,0.57,1.246067,1,-0.246067,deficit against robust-area scenario,5.766218
ordinary_mesic,two_adults,2,7.768697,2,0.436428,0.347641,0.57,1.354069,2,0.645931,sufficient against robust-area scenario,21.644334
ordinary_mesic,two_adults_plus_one_child,2,10.239806,2.636171,0.57525,0.347641,0.593813,1.516704,2,0.483296,sufficient against robust-area scenario,19.173225
ordinary_mesic,two_adults_plus_two_children,2,14.050693,3.617259,0.789337,0.347641,0.647334,1.784312,2,0.215688,sufficient against robust-area scenario,15.362338
ordinary_mesic,two_adults_plus_three_children,2,16.677312,4.293465,0.936894,0.347641,0.684224,1.968759,2,0.031241,sufficient against robust-area scenario,12.735719
dry,one_adult,1,3.375074,0.868891,0.255978,0.772535,0.57,1.598513,1,-0.598513,deficit against robust-area scenario,-0.375936
dry,adult_plus_child,1,5.846183,1.505062,0.443395,0.772535,0.57,1.78593,1,-0.78593,deficit against robust-area scenario,-2.847045
dry,two_adults,2,7.768697,2,0.589206,0.772535,0.597302,1.959043,2,0.040957,sufficient against robust-area scenario,8.415475
dry,two_adults_plus_one_child,2,10.239806,2.636171,0.776623,0.772535,0.644156,2.193314,2,-0.193314,deficit against robust-area scenario,5.944366
dry,two_adults_plus_two_children,2,14.050693,3.617259,1.065655,0.772535,0.716414,2.554604,2,-0.554604,deficit against robust-area scenario,2.133479
dry,two_adults_plus_three_children,2,16.677312,4.293465,1.264867,0.772535,0.766217,2.803619,2,-0.803619,deficit against robust-area scenario,-0.49314
shallow_rocky_marginal,one_adult,1,3.375074,0.868891,0.380253,1.053456,0.57,2.003709,1,-1.003709,deficit against robust-area scenario,-3.849546
shallow_rocky_marginal,adult_plus_child,1,5.846183,1.505062,0.65866,1.053456,0.614665,2.326781,1,-1.326781,deficit against robust-area scenario,-6.320655
shallow_rocky_marginal,two_adults,2,7.768697,2,0.87526,1.053456,0.668815,2.597531,2,-0.597531,deficit against robust-area scenario,0.632701
shallow_rocky_marginal,two_adults_plus_one_child,2,10.239806,2.636171,1.153668,1.053456,0.738417,2.945541,2,-0.945541,deficit against robust-area scenario,-1.838408
shallow_rocky_marginal,two_adults_plus_two_children,2,14.050693,3.617259,1.583022,1.053456,0.845756,3.482234,2,-1.482234,deficit against robust-area scenario,-5.649295
shallow_rocky_marginal,two_adults_plus_three_children,2,16.677312,4.293465,1.87895,1.053456,0.919738,3.852144,2,-1.852144,deficit against robust-area scenario,-8.275914
